site,x,y,z
V0110,596049.9091909033,3343090.371034871,631.8486328125
V0111,663909.9091909033,3343090.371034871,523.1058349609375
V0112,621459.9091909033,3343060.371034871,310.222412109375
V0113,668439.9091909033,3343030.371034871,521.6640014648438
V0114,549099.9091909033,3343000.371034871,245.33250427246094
V0115,641529.9091909033,3342970.371034871,716.1826782226562
V0116,561669.9091909033,3342940.371034871,784.7254638671875
V0117,580899.9091909033,3342940.371034871,467.352294921875
V0118,563259.9091909033,3342880.371034871,554.087158203125
V0119,629229.9091909033,3342880.371034871,466.0265808105469
V0120,648249.9091909033,3342880.371034871,609.8611450195312
V0121,546579.9091909033,3342850.371034871,189.95779418945312
V0122,559209.9091909033,3342790.371034871,531.80419921875
V0123,618339.9091909033,3342790.371034871,342.27105712890625
V0124,584109.9091909033,3342670.371034871,459.7463684082031
V0125,568269.9091909033,3342640.371034871,602.5501098632812
V0126,608169.9091909033,3342640.371034871,703.3519287109375
V0127,614139.9091909033,3342640.371034871,786.9544067382812
V0128,565689.9091909033,3342580.371034871,798.80810546875
V0129,593379.9091909033,3342580.371034871,521.3582763671875
V0130,570969.9091909033,3342550.371034871,393.3509826660156
V0131,585669.9091909033,3342550.371034871,473.4132995605469
V0132,626229.9091909033,3342550.371034871,759.3896484375
V0133,555639.9091909033,3342520.371034871,359.01995849609375
V0134,588699.9091909033,3342520.371034871,369.3950500488281
V0135,638139.9091909033,3342520.371034871,886.9188842773438
V0136,671799.9091909033,3342490.371034871,452.9859313964844
V0137,543369.9091909033,3342430.371034871,344.8699035644531
V0138,553509.9091909033,3342430.371034871,557.0149536132812
V0139,573369.9091909033,3342430.371034871,361.7698974609375
V0140,646809.9091909033,3342430.371034871,469.804931640625
V0141,676089.9091909033,3342430.371034871,1323.864990234375
V0142,604269.9091909033,3342370.371034871,441.4622497558594
V0143,579159.9091909033,3342340.371034871,469.50921630859375
V0144,661809.9091909033,3342340.371034871,445.5452575683594
V0145,591549.9091909033,3342310.371034871,353.2921142578125
V0146,666309.9091909033,3342310.371034871,682.360107421875
V0147,615699.9091909033,3342280.371034871,597.9375610351562
V0148,636789.9091909033,3342280.371034871,829.5770263671875
V0149,650829.9091909033,3342250.371034871,573.2938842773438
V0150,551739.9091909033,3342220.371034871,429.8179931640625
V0151,643239.9091909033,3342220.371034871,482.7096252441406
V0152,658269.9091909033,3342220.371034871,933.6350708007812
V0153,611709.9091909033,3342190.371034871,412.63189697265625
V0154,576729.9091909033,3342160.371034871,462.7654724121094
V0155,598329.9091909033,3342100.371034871,648.964111328125
V0156,600819.9091909033,3342100.371034871,548.97802734375
V0157,623769.9091909033,3342100.371034871,569.4937133789062
V0158,656649.9091909033,3342100.371034871,547.3565063476562
V0159,673899.9091909033,3342040.371034871,1245.5177001953125
V0160,605949.9091909033,3342010.371034871,808.2246704101562
V0161,633969.9091909033,3341980.371034871,329.7060241699219
V0162,631059.9091909033,3341950.371034871,336.5451354980469
V0163,601269.9091909033,3340570.371034871,559.2769165039062
V0164,606369.9091909033,3340570.371034871,833.0983276367188
V0165,656469.9091909033,3340540.371034871,716.2412109375
V0166,640959.9091909033,3340510.371034871,723.8753051757812
V0167,661509.9091909033,3340450.371034871,697.9915771484375
V0168,675849.9091909033,3340450.371034871,922.1631469726562
V0169,650799.9091909033,3340390.371034871,559.7093505859375
V0170,550749.9091909033,3340360.371034871,340.1242980957031
V0171,573249.9091909033,3340360.371034871,614.328857421875
V0172,575769.9091909033,3340360.371034871,650.473876953125
V0173,604209.9091909033,3340360.371034871,286.9090270996094
V0174,658269.9091909033,3340360.371034871,574.8613891601562
V0175,665949.9091909033,3340330.371034871,633.6188354492188
V0176,598239.9091909033,3340300.371034871,603.3079223632812
V0177,643689.9091909033,3340240.371034871,330.3116455078125
V0178,619059.9091909033,3340210.371034871,603.5913696289062
V0179,563889.9091909033,3340180.371034871,711.4027709960938
V0180,585669.9091909033,3340180.371034871,306.1400146484375
V0181,566439.9091909033,3340150.371034871,646.7460327148438
V0182,638169.9091909033,3340150.371034871,1232.22265625
V0183,594309.9091909033,3340120.371034871,488.3722229003906
V0184,646749.9091909033,3340090.371034871,435.9364318847656
V0185,620679.9091909033,3340060.371034871,421.78594970703125
V0186,554349.9091909033,3340000.371034871,235.4644012451172
V0187,583659.9091909033,3340000.371034871,490.8944396972656
V0188,626799.9091909033,3339970.371034871,717.3609008789062
V0189,633759.9091909033,3339940.371034871,374.8543701171875
V0190,581739.9091909033,3339910.371034871,595.6554565429688
V0191,568719.9091909033,3339880.371034871,407.7005615234375
V0192,636819.9091909033,3339820.371034871,1011.3078002929688
