site,x,y,z
V0393,582909.9091909033,3330370.371034871,502.5142517089844
V0394,614499.9091909033,3330370.371034871,829.5947265625
V0395,550509.9091909033,3330310.371034871,645.0515747070312
V0396,607989.9091909033,3330310.371034871,1425.9649658203125
V0397,674469.9091909033,3330310.371034871,1119.4468994140625
V0398,636939.9091909033,3330220.371034871,740.3386840820312
V0399,655539.9091909033,3330220.371034871,283.6983642578125
V0400,629409.9091909033,3330190.371034871,983.7045288085938
V0401,652209.9091909033,3330160.371034871,326.2480773925781
V0402,580179.9091909033,3330130.371034871,373.59765625
V0403,622119.9091909033,3330100.371034871,1078.3779296875
V0404,544449.9091909033,3330070.371034871,680.6495361328125
V0405,646929.9091909033,3330040.371034871,524.2862548828125
V0406,548079.9091909033,3330010.371034871,589.9160766601562
V0407,619449.9091909033,3329920.371034871,1028.6279296875
V0408,567579.9091909033,3329890.371034871,549.1238403320312
V0409,600549.9091909033,3329830.371034871,1132.9808349609375
V0410,605559.9091909033,3329830.371034871,926.8538208007812
V0411,578019.9091909033,3329770.371034871,508.50823974609375
V0412,594849.9091909033,3329770.371034871,1121.146484375
V0413,552609.9091909033,3329740.371034871,578.466064453125
V0414,558009.9091909033,3329740.371034871,386.5255126953125
V0415,592989.9091909033,3329740.371034871,753.1083984375
V0416,597219.9091909033,3329740.371034871,1052.9271240234375
V0417,612009.9091909033,3329680.371034871,1339.6759033203125
V0418,664539.9091909033,3329650.371034871,427.66229248046875
V0419,625449.9091909033,3329620.371034871,1228.6375732421875
V0420,560319.9091909033,3329590.371034871,307.183837890625
V0421,584679.9091909033,3329590.371034871,572.1546630859375
V0422,642189.9091909033,3329590.371034871,493.2749328613281
V0423,590379.9091909033,3329560.371034871,763.0625610351562
V0424,640299.9091909033,3329500.371034871,725.5284423828125
V0425,672789.9091909033,3329500.371034871,1264.8475341796875
V0426,542529.9091909033,3329440.371034871,714.1006469726562
V0427,562329.9091909033,3329440.371034871,469.2677917480469
V0428,602319.9091909033,3329440.371034871,1049.021728515625
V0429,617589.9091909033,3329440.371034871,577.1474609375
V0430,657669.9091909033,3329440.371034871,477.035888671875
V0431,662649.9091909033,3329440.371034871,423.4006042480469
V0432,670029.9091909033,3329440.371034871,1222.5029296875
V0433,564999.9091909033,3328120.371034871,425.62640380859375
V0434,569979.9091909033,3328120.371034871,556.858642578125
V0435,615099.9091909033,3328090.371034871,655.3125
V0436,634959.9091909033,3328090.371034871,831.5418701171875
V0437,644859.9091909033,3328090.371034871,383.2393798828125
V0438,670149.9091909033,3328090.371034871,1233.652099609375
V0439,560229.9091909033,3328060.371034871,299.2049560546875
V0440,647199.9091909033,3328030.371034871,272.6302795410156
V0441,652659.9091909033,3328000.371034871,193.18212890625
V0442,659649.9091909033,3328000.371034871,380.2042236328125
V0443,590349.9091909033,3327970.371034871,1154.544677734375
V0444,607869.9091909033,3327970.371034871,962.6043090820312
V0445,655389.9091909033,3327970.371034871,463.59619140625
V0446,619539.9091909033,3327910.371034871,1155.8741455078125
V0447,612009.9091909033,3327880.371034871,828.0648193359375
V0448,632019.9091909033,3327880.371034871,1040.86376953125
V0449,649569.9091909033,3327880.371034871,229.24745178222656
V0450,582069.9091909033,3327820.371034871,375.97418212890625
V0451,566949.9091909033,3327760.371034871,499.986083984375
V0452,637419.9091909033,3327760.371034871,672.2205200195312
V0453,562239.9091909033,3327730.371034871,691.2713623046875
V0454,609429.9091909033,3327700.371034871,1236.3299560546875
V0455,624549.9091909033,3327700.371034871,1378.0341796875
V0456,588069.9091909033,3327640.371034871,739.3804321289062
V0457,668049.9091909033,3327640.371034871,650.2720336914062
V0458,557469.9091909033,3327580.371034871,395.0874328613281
V0459,604389.9091909033,3327520.371034871,1276.6978759765625
V0460,657009.9091909033,3327520.371034871,476.91845703125
V0461,663099.9091909033,3327520.371034871,762.4249267578125
V0462,585249.9091909033,3327490.371034871,840.8560791015625
V0463,664449.9091909033,3327400.371034871,957.3027954101562
V0464,623049.9091909033,3327370.371034871,1180.809326171875
V0465,595359.9091909033,3327340.371034871,901.4703369140625
V0466,618069.9091909033,3327340.371034871,1019.2464599609375
V0467,674409.9091909033,3327340.371034871,760.3177490234375
V0468,642849.9091909033,3327280.371034871,695.1660766601562
V0469,672849.9091909033,3327220.371034871,1076.5716552734375
V0470,629499.9091909033,3327160.371034871,791.6847534179688
V0471,552279.9091909033,3327100.371034871,762.9561157226562
V0472,554559.9091909033,3327100.371034871,525.8797607421875
V0473,639579.9091909033,3327100.371034871,631.3755493164062
V0474,597429.9091909033,3327070.371034871,1104.8028564453125
V0475,549639.9091909033,3327040.371034871,910.017578125
V0476,574629.9091909033,3327040.371034871,355.3809814453125
V0477,602859.9091909033,3327040.371034871,1114.08984375
V0478,577779.9091909033,3327010.371034871,519.343017578125
V0479,542739.9091909033,3326980.371034871,895.23828125
V0480,547629.9091909033,3326950.371034871,728.40966796875
V0481,579819.9091909033,3326950.371034871,575.8866577148438
V0482,592659.9091909033,3326950.371034871,779.8895874023438
V0483,627669.9091909033,3326950.371034871,906.6243286132812
V0484,544989.9091909033,3326920.371034871,968.8123779296875
V0485,572499.9091909033,3326920.371034871,649.7988891601562
V0486,599979.9091909033,3326920.371034871,1191.9461669921875
V0487,672369.9091909033,3325570.371034871,811.5682373046875
V0488,557259.9091909033,3325540.371034871,363.65765380859375
V0489,615189.9091909033,3325540.371034871,820.7740478515625
V0490,644769.9091909033,3325540.371034871,274.18505859375
V0491,587289.9091909033,3325510.371034871,964.7149047851562
V0492,604719.9091909033,3325510.371034871,1251.0992431640625
V0493,640299.9091909033,3325510.371034871,527.766845703125
V0494,662799.9091909033,3325510.371034871,642.2852172851562
V0495,674679.9091909033,3325510.371034871,532.9091186523438
V0496,624669.9091909033,3325450.371034871,1165.5
V0497,622839.9091909033,3325390.371034871,825.837158203125
V0498,664539.9091909033,3325390.371034871,516.9176025390625
V0499,562359.9091909033,3325360.371034871,283.94580078125
V0500,597009.9091909033,3325360.371034871,914.1881713867188
V0501,612969.9091909033,3325360.371034871,726.5957641601562
