site,x,y,z
V0402,666819.9091909033,3331330.371034871,278.83416748046875
V0403,606819.9091909033,3331300.371034871,1174.7440185546875
V0404,643179.9091909033,3331210.371034871,611.55712890625
V0405,663639.9091909033,3331210.371034871,459.77337646484375
V0406,674319.9091909033,3331210.371034871,1263.5845947265625
V0407,594279.9091909033,3331180.371034871,740.4983520507812
V0408,548259.9091909033,3331120.371034871,633.227783203125
V0409,640749.9091909033,3331120.371034871,560.6898193359375
V0410,561519.9091909033,3331090.371034871,274.5389099121094
V0411,600669.9091909033,3331090.371034871,885.9036254882812
V0412,648159.9091909033,3331090.371034871,702.491455078125
V0413,550689.9091909033,3331060.371034871,498.15155029296875
V0414,656589.9091909033,3331060.371034871,591.9678955078125
V0415,544269.9091909033,3331030.371034871,480.76165771484375
V0416,636789.9091909033,3331030.371034871,815.9984130859375
V0417,578859.9091909033,3330970.371034871,512.481201171875
V0418,631719.9091909033,3330910.371034871,933.1695556640625
V0419,598299.9091909033,3330880.371034871,767.3836059570312
V0420,646479.9091909033,3330880.371034871,611.37646484375
V0421,546339.9091909033,3330850.371034871,474.43212890625
V0422,583809.9091909033,3330820.371034871,705.5886840820312
V0423,671469.9091909033,3330820.371034871,1007.0043334960938
V0424,566589.9091909033,3330790.371034871,427.59521484375
V0425,570879.9091909033,3330790.371034871,403.0627136230469
V0426,618999.9091909033,3330760.371034871,788.6776123046875
V0427,573699.9091909033,3330730.371034871,546.3348999023438
V0428,591429.9091909033,3330700.371034871,518.4924926757812
V0429,603879.9091909033,3330700.371034871,965.2252807617188
V0430,621399.9091909033,3330700.371034871,813.32177734375
V0431,626169.9091909033,3330700.371034871,1230.05517578125
V0432,638919.9091909033,3330700.371034871,763.2594604492188
V0433,583659.9091909033,3329320.371034871,475.37896728515625
V0434,593919.9091909033,3329320.371034871,888.1326904296875
V0435,638829.9091909033,3329320.371034871,529.2385864257812
V0436,673599.9091909033,3329320.371034871,1069.18359375
V0437,676479.9091909033,3329290.371034871,661.7510986328125
V0438,626019.9091909033,3329230.371034871,1368.8172607421875
V0439,648369.9091909033,3329230.371034871,351.48480224609375
V0440,558339.9091909033,3329200.371034871,461.1709899902344
V0441,611619.9091909033,3329200.371034871,1238.434814453125
V0442,635949.9091909033,3329200.371034871,651.2710571289062
V0443,651189.9091909033,3329200.371034871,227.46636962890625
V0444,671349.9091909033,3329140.371034871,1255.701904296875
V0445,620889.9091909033,3329110.371034871,1210.2789306640625
V0446,646719.9091909033,3329110.371034871,550.7305908203125
V0447,605949.9091909033,3329050.371034871,1201.1622314453125
V0448,615789.9091909033,3329050.371034871,613.9124145507812
V0449,641409.9091909033,3329050.371034871,684.3775024414062
V0450,654249.9091909033,3329020.371034871,203.02740478515625
V0451,579129.9091909033,3328990.371034871,430.1859130859375
V0452,658209.9091909033,3328990.371034871,468.17218017578125
V0453,633159.9091909033,3328930.371034871,1172.3836669921875
V0454,643179.9091909033,3328930.371034871,508.1818542480469
V0455,601209.9091909033,3328900.371034871,1236.2437744140625
V0456,631809.9091909033,3328900.371034871,913.7132568359375
V0457,573309.9091909033,3328840.371034871,466.8068542480469
V0458,656349.9091909033,3328780.371034871,539.9476318359375
V0459,613269.9091909033,3328720.371034871,819.4207153320312
V0460,590679.9091909033,3328630.371034871,1003.4239501953125
V0461,665679.9091909033,3328630.371034871,524.1864013671875
V0462,580659.9091909033,3328600.371034871,417.5096130371094
V0463,564309.9091909033,3328570.371034871,452.0408630371094
