site,x,y,z
V0063,649659.9091909033,3346720.371034871,647.0013427734375
V0064,667089.9091909033,3346720.371034871,536.2982788085938
V0065,557679.9091909033,3346660.371034871,329.8418273925781
V0066,600429.9091909033,3346660.371034871,545.8982543945312
V0067,567699.9091909033,3346600.371034871,898.9845581054688
V0068,640299.9091909033,3346570.371034871,749.53515625
V0069,642909.9091909033,3346480.371034871,669.9908447265625
V0070,644469.9091909033,3346480.371034871,466.57135009765625
V0071,589419.9091909033,3346450.371034871,402.5275573730469
V0072,602709.9091909033,3346420.371034871,495.51580810546875
V0073,635559.9091909033,3346420.371034871,427.67889404296875
V0074,550239.9091909033,3346360.371034871,465.1453857421875
V0075,570099.9091909033,3346360.371034871,1000.0892944335938
V0076,574419.9091909033,3346360.371034871,324.5699157714844
V0077,588069.9091909033,3346360.371034871,557.9902954101562
V0078,605559.9091909033,3346330.371034871,660.976318359375
V0079,577539.9091909033,3346300.371034871,404.2685241699219
V0080,563079.9091909033,3346270.371034871,865.9086303710938
V0081,672399.9091909033,3346240.371034871,550.70849609375
V0082,617469.9091909033,3346180.371034871,661.775146484375
V0083,610479.9091909033,3346150.371034871,221.88198852539062
V0084,615549.9091909033,3346150.371034871,207.9939727783203
V0085,637659.9091909033,3346150.371034871,693.9493408203125
V0086,542979.9091909033,3346090.371034871,500.2092590332031
V0087,564429.9091909033,3346090.371034871,895.6947631835938
V0088,606909.9091909033,3346090.371034871,306.70849609375
V0089,669429.9091909033,3346090.371034871,656.2562866210938
V0090,620529.9091909033,3346060.371034871,355.9681091308594
V0091,654579.9091909033,3346030.371034871,551.7453002929688
V0092,656979.9091909033,3346030.371034871,688.796875
V0093,624489.9091909033,3346000.371034871,409.7729797363281
V0094,554889.9091909033,3345970.371034871,397.52618408203125
V0095,627489.9091909033,3345970.371034871,518.2177734375
V0096,629739.9091909033,3345970.371034871,272.1453857421875
V0097,622449.9091909033,3345940.371034871,436.2538757324219
V0098,560469.9091909033,3345910.371034871,641.0582275390625
V0099,612849.9091909033,3345910.371034871,375.302490234375
V0100,675459.9091909033,3345910.371034871,403.4158020019531
V0101,584529.9091909033,3345880.371034871,459.01092529296875
V0102,632589.9091909033,3345880.371034871,289.6878662109375
V0103,665409.9091909033,3345850.371034871,449.355712890625
V0104,592089.9091909033,3345820.371034871,224.375
V0105,652779.9091909033,3345760.371034871,607.577880859375
V0106,582459.9091909033,3345700.371034871,396.1999206542969
V0107,594819.9091909033,3345700.371034871,266.82537841796875
V0108,572499.9091909033,3345670.371034871,547.9515991210938
V0109,594999.9091909033,3344350.371034871,519.830322265625
V0110,564849.9091909033,3344320.371034871,615.64697265625
V0111,572319.9091909033,3344320.371034871,397.33428955078125
V0112,592569.9091909033,3344320.371034871,470.5600891113281
V0113,547479.9091909033,3344290.371034871,349.939453125
V0114,549639.9091909033,3344230.371034871,302.5407409667969
V0115,569619.9091909033,3344230.371034871,631.6558837890625
V0116,602139.9091909033,3344230.371034871,353.1163330078125
V0117,630399.9091909033,3344170.371034871,285.6424255371094
V0118,587949.9091909033,3344140.371034871,478.2683410644531
V0119,560469.9091909033,3344110.371034871,803.784423828125
V0120,669519.9091909033,3344110.371034871,473.44793701171875
V0121,552279.9091909033,3344080.371034871,340.4179992675781
V0122,561969.9091909033,3344050.371034871,866.3402099609375
V0123,635499.9091909033,3344050.371034871,452.7616271972656
V0124,639489.9091909033,3344050.371034871,721.6062622070312
V0125,600339.9091909033,3343990.371034871,721.3126831054688
V0126,649419.9091909033,3343930.371034871,550.27294921875
V0127,668049.9091909033,3343930.371034871,654.9664306640625
V0128,631929.9091909033,3343900.371034871,289.0543518066406
V0129,589419.9091909033,3343870.371034871,374.20855712890625
V0130,638049.9091909033,3343870.371034871,865.2938842773438
V0131,665109.9091909033,3343870.371034871,774.167236328125
V0132,566889.9091909033,3343750.371034871,823.17724609375
V0133,605589.9091909033,3343750.371034871,772.8637084960938
V0134,654399.9091909033,3343750.371034871,479.7978515625
V0135,557529.9091909033,3343690.371034871,498.95501708984375
V0136,582249.9091909033,3343660.371034871,590.67626953125
V0137,584469.9091909033,3343660.371034871,531.5770874023438
V0138,659769.9091909033,3343660.371034871,845.3424072265625
V0139,574659.9091909033,3343630.371034871,302.3523864746094
V0140,644439.9091909033,3343600.371034871,359.2685852050781
V0141,652839.9091909033,3343600.371034871,479.6549072265625
V0142,620049.9091909033,3343570.371034871,415.8481750488281
V0143,627339.9091909033,3343570.371034871,650.7208862304688
V0144,613029.9091909033,3343510.371034871,348.16387939453125
V0145,614439.9091909033,3343510.371034871,506.23699951171875
V0146,623019.9091909033,3343510.371034871,452.04302978515625
V0147,641949.9091909033,3343510.371034871,616.9154663085938
V0148,672999.9091909033,3343480.371034871,478.7551574707031
V0149,617499.9091909033,3343390.371034871,468.7929382324219
V0150,609579.9091909033,3343360.371034871,241.00926208496094
